MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIt makes me so happy to befriend another\nDivine Dragon. We have so much to talk about!\x0E\x04\x00\x00
MID_GR_Linden_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWhat have you got there, Lindon? It smells\nreally good!\x0E\x04\x00\x00
MID_GR_Linden_C_#002	\x0E\x03\x02\x0A\x08リンデン\nI am baking a cake using thunder magic.\nWould you like to give me a hand?\x0E\x04\x00\x00
MID_GR_Linden_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08リンデン\nYou remind me of my children when they were\nyoung. They're all grown now, of course.\x0E\x04\x00\x00
MID_GR_Linden_B_#002	\x0E\x03\x02\x06\x04チキ\nI'm sure your kids turned out real nice. I hope\nI'll be as great as them when I'm grown up too!\x0E\x04\x00\x00
MID_GR_Linden_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nYou're kind of like Ban-Ban. He's like a\ngranddad to me!\x0E\x04\x00\x00
MID_GR_Linden_A_#002	\x0E\x03\x02\x0A\x08リンデン\nI can see why you would say that. I do, in fact,\nhave a lot of grandchildren.\x0E\x04\x00\x00
MID_GR_Linden_A_#003	\x0E\x03\x02\x0A\x08リンデン\nThey are just like you, Tiki. Charming and full of\nlife. Perhaps I'll get to see them again one day...\x0E\x04\x00\x00
MID_GR_Linden_A_#004	\x0E\x03\x02\x06\x04チキ\nYou will! The people you love are never far\naway, though. They're always in your heart!\x0E\x04\x00\x00
MID_GR_Saphir_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nザフィーア\nI shouldn't be shocked you're so strong for your\nage, Tiki. You're a Divine Dragon, after all.\x0E\x04\x00\x00
MID_GR_Saphir_C_#002	\x0E\x03\x02\x06\x04チキ\nThank you, Saphir! I do my best!\x0E\x04\x00\x00
MID_GR_Saphir_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nザフィーア\nMy village back home had some incredible\nfishing. Do you like seafood?\x0E\x04\x00\x00
MID_GR_Saphir_B_#002	\x0E\x03\x02\x06\x04チキ\nI do! I like all kinds of meat. Veggies too. Now\nthat I'm an Emblem though, I never eat at all!\x0E\x04\x00\x00
MID_GR_Saphir_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nザフィーア\nI heard you were alone for a long time. It must\nhave been tough having no one to rely on.\x0E\x04\x00\x00
MID_GR_Saphir_A_#002	\x0E\x03\x02\x06\x04チキ\nIt was quite frightening. Now that I have all of\nyou, though, I don't have to be sad anymore!\x0E\x04\x00\x00
MID_GR_Saphir_A_#003	\x0E\x03\x02\x0C\nザフィーア\nHaha, that's right. If you ever do feel lonely,\ngive a holler and we'll all come running.\x0E\x04\x00\x00
MID_GR_Saphir_A_#004	\x0E\x03\x02\x06\x04チキ\nI'll do the same for you anytime, Saphir!\nThat's a promise!\x0E\x04\x00\x00
MID_GR_Veyre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI know you're a Divine Dragon, and I'm a Fell\nDragon, but...will you still be friends with me?\x0E\x04\x00\x00
MID_GR_Veyre_C_#002	\x0E\x03\x02\x06\x04チキ\nOf course! I'd really like to be friends with you,\nVeyle. I want to know all about you!\x0E\x04\x00\x00
MID_GR_Veyre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI lose track of time when I'm talking to you.\nI just never want the moment to end.\x0E\x04\x00\x00
MID_GR_Veyre_B_#002	\x0E\x03\x02\x06\x04チキ\nMe too, me too! I feel exactly the same way!\nThere's still so much I'd like to talk about!\x0E\x04\x00\x00
MID_GR_Veyre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI'd like us to be friends, Tiki. I hope that's not\ntoo presumptuous.\x0E\x04\x00\x00
MID_GR_Veyre_A_#002	\x0E\x03\x02\x06\x04チキ\nOf course not! I like you a lot. That's why I want\nto spend lots of time with you.\x0E\x04\x00\x00
MID_GR_Veyre_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nThank you for saying that. That makes me really\nhappy. Will you always be my friend?\x0E\x04\x00\x00
MID_GR_Veyre_A_#004	\x0E\x03\x02\x06\x04チキ\nAbsolutely, it's a promise! We'll be friends\nforever and ever and ever and ever!\x0E\x04\x00\x00
MID_GR_Mauve_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06モーヴ\nI have committed unforgivable sins, but I am\nprepared to do what it takes to earn your trust.\x0E\x04\x00\x00
MID_GR_Mauve_C_#002	\x0E\x03\x02\x06\x04チキ\nYou're one of us, Mauvier. I already trust you!\x0E\x04\x00\x00
MID_GR_Mauve_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nI like talking to you, Mauvier. It's fun to tell you\nabout all kinds of things.\x0E\x04\x00\x00
MID_GR_Mauve_B_#002	\x0E\x03\x02\x08\x06モーヴ\nThere is no need for praise. I have simply\nenjoyed listening to your stories.\x0E\x04\x00\x00
MID_GR_Mauve_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06モーヴ\nLady Veyle has instructed me to rest. I've not\nthe slightest idea what to do with myself.\x0E\x04\x00\x00
MID_GR_Mauve_A_#002	\x0E\x03\x02\x06\x04チキ\nHmm... How about we relax, watch the clouds,\nand chat for a while?\x0E\x04\x00\x00
MID_GR_Mauve_A_#003	\x0E\x03\x02\x08\x06モーヴ\nIf you have more stories to tell, I would be glad\nto listen.\x0E\x04\x00\x00
MID_GR_Mauve_A_#004	\x0E\x03\x02\x06\x04チキ\nI have plenty. I'd like to hear some of your\nstories, too, though!\x0E\x04\x00\x00
